"ONTOLOGY" "Term" "N" "DE" "P.DE" "FDR"
"GO:0001774" "BP" "microglial cell activation" 49 8 0.436116569448348 1
"GO:0001775" "BP" "cell activation" 1046 195 0.0100900758708961 0.508197482033256
"GO:0001776" "BP" "leukocyte homeostasis" 103 18 0.287677666018069 1
"GO:0001777" "BP" "T cell homeostatic proliferation" 4 0 1 1
"GO:0001778" "BP" "plasma membrane repair" 27 6 0.363108183676559 1
"GO:0001779" "BP" "natural killer cell differentiation" 24 3 0.776116590732676 1
"GO:0001780" "BP" "neutrophil homeostasis" 20 5 0.186397764230958 1
"GO:0001781" "BP" "neutrophil apoptotic process" 8 2 0.315662033922861 1
"GO:0001782" "BP" "B cell homeostasis" 31 6 0.370126126064089 1
"GO:0001783" "BP" "B cell apoptotic process" 26 9 0.0461186924116164 0.957334108165329
"GO:0001787" "BP" "natural killer cell proliferation" 14 2 0.588056585624465 1
"GO:0001788" "BP" "antibody-dependent cellular cytotoxicity" 4 1 0.365394010095655 1
"GO:0001794" "BP" "type IIa hypersensitivity" 5 1 0.531871097634087 1
"GO:0001796" "BP" "regulation of type IIa hypersensitivity" 4 1 0.515297524831096 1
"GO:0001797" "BP" "negative regulation of type IIa hypersensitivity" 1 0 0.999999999959601 1
"GO:0001798" "BP" "positive regulation of type IIa hypersensitivity" 3 1 0.498141389387187 1
"GO:0001802" "BP" "type III hypersensitivity" 1 0 0.999999999949525 1
"GO:0001803" "BP" "regulation of type III hypersensitivity" 1 0 0.999999999949525 1
"GO:0001805" "BP" "positive regulation of type III hypersensitivity" 1 0 0.999999999949525 1
"GO:0001806" "BP" "type IV hypersensitivity" 4 1 0.33706227290744 1
"GO:0001807" "BP" "regulation of type IV hypersensitivity" 4 1 0.33706227290744 1
"GO:0001808" "BP" "negative regulation of type IV hypersensitivity" 2 0 1 1
"GO:0001809" "BP" "positive regulation of type IV hypersensitivity" 1 1 0.12930364359627 1
"GO:0001810" "BP" "regulation of type I hypersensitivity" 1 0 0.999999999959601 1
"GO:0001811" "BP" "negative regulation of type I hypersensitivity" 1 0 0.999999999959601 1
"GO:0001813" "BP" "regulation of antibody-dependent cellular cytotoxicity" 2 1 0.32283612676429 1
"GO:0001814" "BP" "negative regulation of antibody-dependent cellular cytotoxicity" 1 0 0.999999999959601 1
"GO:0001815" "BP" "positive regulation of antibody-dependent cellular cytotoxicity" 1 1 0.298871521965902 1
"GO:0001816" "BP" "cytokine production" 821 152 0.000491729432912086 0.0795087755751057
"GO:0001817" "BP" "regulation of cytokine production" 808 150 0.000423036213614561 0.0739952645271237
"GO:0001818" "BP" "negative regulation of cytokine production" 346 51 0.158413937700027 1
