"ONTOLOGY" "Term" "N" "DE" "P.DE" "FDR"
"GO:0001774" "BP" "microglial cell activation" 49 29 0.233922956848641 1
"GO:0001775" "BP" "cell activation" 1046 629 0.000384214636479281 0.0145216399623426
"GO:0001776" "BP" "leukocyte homeostasis" 103 53 0.721077549019144 1
"GO:0001777" "BP" "T cell homeostatic proliferation" 4 3 0.290933923336496 1
"GO:0001778" "BP" "plasma membrane repair" 27 10 0.992947627082806 1
"GO:0001779" "BP" "natural killer cell differentiation" 24 15 0.347932504021145 1
"GO:0001780" "BP" "neutrophil homeostasis" 20 13 0.220214133389757 1
"GO:0001781" "BP" "neutrophil apoptotic process" 8 5 0.382152026023411 1
"GO:0001782" "BP" "B cell homeostasis" 31 16 0.717703341463092 1
"GO:0001783" "BP" "B cell apoptotic process" 26 14 0.781501308926522 1
"GO:0001787" "BP" "natural killer cell proliferation" 14 9 0.251646832889318 1
"GO:0001788" "BP" "antibody-dependent cellular cytotoxicity" 4 1 0.888230520092298 1
"GO:0001794" "BP" "type IIa hypersensitivity" 5 2 0.794587950384405 1
"GO:0001796" "BP" "regulation of type IIa hypersensitivity" 4 2 0.726975469309562 1
"GO:0001797" "BP" "negative regulation of type IIa hypersensitivity" 1 0 1 1
"GO:0001798" "BP" "positive regulation of type IIa hypersensitivity" 3 2 0.63107564526018 1
"GO:0001802" "BP" "type III hypersensitivity" 1 0 1 1
"GO:0001803" "BP" "regulation of type III hypersensitivity" 1 0 1 1
"GO:0001805" "BP" "positive regulation of type III hypersensitivity" 1 0 1 1
"GO:0001806" "BP" "type IV hypersensitivity" 4 2 0.613607273004611 1
"GO:0001807" "BP" "regulation of type IV hypersensitivity" 4 2 0.613607273004611 1
"GO:0001808" "BP" "negative regulation of type IV hypersensitivity" 2 1 0.73335015040359 1
